Car_id,Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin
193,dodge aries wagon (sw),25.8,4,156,92,2620,14.4,81,US
194,ford fairmont futura,24,4,140,92,2865,16.4,82,US
195,chrysler lebaron medallion,26,4,156,92,2585,14.5,82,US
196,subaru,26,4,108,93,2391,15.5,74,Japan
197,datsun 610,22,4,108,94,2379,16.5,73,Japan
198,toyota corona mark ii,24,4,113,95,2372,15,70,Japan
199,plymouth duster,22,6,198,95,2833,15.5,70,US
200,saab 99e,25,4,104,95,2375,17.5,70,Europe
201,toyota corona,25,4,113,95,2228,14,71,Japan
202,toyota corona hardtop,24,4,113,95,2278,15.5,72,Japan
203,plymouth duster,23,6,198,95,2904,16,73,US
204,plymouth duster,20,6,198,95,3102,16.5,74,US
205,plymouth valiant custom,19,6,225,95,3264,16,75,US
206,plymouth fury,18,6,225,95,3785,19,75,US
207,audi 100ls,23,4,115,95,2694,15,75,Europe
208,amc pacer d/l,17.5,6,258,95,3193,17.8,76,US
209,chevrolet malibu,20.5,6,200,95,3155,18.2,78,US
210,toyota corona,27.5,4,134,95,2560,14.2,78,Japan
211,toyota celica gt liftback,21.1,4,134,95,2515,14.8,78,Japan
212,toyota corona,24,4,134,96,2702,13.5,75,Japan
213,plymouth arrow gs,25.5,4,122,96,2300,15.5,77,US
214,toyota celica gt,32,4,144,96,2665,13.9,82,Japan
215,amc hornet,18,6,199,97,2774,15.5,70,US
216,mazda rx2 coupe,19,3,70,97,2330,13.5,72,Japan
217,toyouta corona mark ii (sw),23,4,120,97,2506,14.5,72,Japan
218,honda civic,24,4,120,97,2489,15,74,Japan
219,datsun 710,24,4,119,97,2545,17,75,Japan
220,ford pinto,18,6,171,97,2984,14.5,75,US
221,datsun 810,22,6,146,97,2815,14.5,77,Japan
222,datsun 510,27.2,4,119,97,2300,14.7,78,Japan
223,datsun 200-sx,23.9,4,119,97,2405,14.9,78,Japan
224,volvo 244dl,22,4,121,98,2945,14.5,75,Europe
225,ford granada,18.5,6,250,98,3525,19,77,US
226,amc gremlin,19,6,232,100,2634,13,71,US
227,chevrolet chevelle malibu,17,6,250,100,3329,15.5,71,US
228,amc matador,18,6,232,100,3288,15.5,71,US
229,pontiac firebird,19,6,250,100,3282,15,71,US
230,chevrolet nova custom,16,6,250,100,3278,18,73,US
231,amc hornet,18,6,232,100,2945,16,73,US
232,amc gremlin,18,6,232,100,2789,15,73,US
233,amc hornet,19,6,232,100,2901,16,74,US
234,chevrolet nova,15,6,250,100,3336,17,74,US
235,chevrolet chevelle malibu classic,16,6,250,100,3781,17,74,US
236,amc gremlin,20,6,232,100,2914,16,75,US
237,plymouth valiant,22,6,225,100,3233,15.4,76,US
238,dodge aspen se,20,6,225,100,3651,17.7,76,US
239,plymouth volare custom,19,6,225,100,3630,17.7,77,US
240,plymouth volare,20.5,6,225,100,3430,17.2,78,US
241,mazda rx-7 gs,23.7,3,70,100,2420,12.5,80,Japan
242,datsun 200sx,32.9,4,119,100,2615,14.8,81,Japan
243,volvo 245,20,4,130,102,3150,15.7,76,Europe
244,audi 5000,20.3,5,131,103,2830,15.9,78,Europe
245,plymouth satellite custom,16,6,225,105,3439,15.5,71,US
246,plymouth valiant,18,6,225,105,3121,16.5,73,US
247,plymouth satellite sebring,18,6,225,105,3613,16.5,74,US
248,chevrolet nova,18,6,250,105,3459,16,75,US
249,chevroelt chevelle malibu,16,6,250,105,3897,18.5,75,US
250,chevrolet nova,22,6,250,105,3353,14.5,76,US
251,buick skylark,20.5,6,231,105,3425,16.9,77,US
252,pontiac phoenix lj,19.2,6,231,105,3535,19.2,78,US
253,buick century special,20.6,6,231,105,3380,15.8,78,US
254,plymouth sapporo,23.2,4,156,105,2745,16.7,78,US
255,dodge colt,27.9,4,156,105,2800,14.4,80,US
256,oldsmobile cutlass ls,26.6,8,350,105,3725,19,81,US
257,mercury capri v6,21,6,155,107,2472,14,73,US
258,toyota mark ii,19,6,156,108,2930,15.5,76,Japan
259,amc hornet sportabout (sw),18,6,258,110,2962,13.5,71,US
260,saab 99le,24,4,121,110,2660,14,73,Europe
261,amc matador,16,6,258,110,3632,18,74,US
262,buick century,17,6,231,110,3907,21,75,US
263,amc matador,15,6,258,110,3730,19,75,US
264,buick skyhawk,21,6,231,110,3039,15,75,US
265,chevrolet monza 2+2,20,8,262,110,3221,13.5,75,US
266,pontiac ventura sj,18.5,6,250,110,3645,16.2,76,US
267,oldsmobile cutlass supreme,17,8,260,110,4060,19,77,US
268,chevrolet concours,17.5,6,250,110,3520,16.4,77,US
269,bmw 320i,21.5,4,121,110,2600,12.8,77,Europe
270,mazda rx-4,21.5,3,80,110,2720,13.5,77,Japan
271,oldsmobile cutlass salon brougham,19.9,8,260,110,3365,15.5,78,US
272,dodge aspen,18.6,6,225,110,3620,18.7,78,US
273,dodge aspen 6,20.6,6,225,110,3360,16.6,79,US
274,chevrolet citation,23.5,6,173,110,2725,12.6,81,US
275,buick century,22.4,6,231,110,3415,15.8,81,US
276,buick century limited,25,6,181,110,2945,16.4,82,US
277,volvo 145e (sw),18,4,121,112,2933,14.5,72,Europe
278,volvo 144ea,19,4,121,112,2868,15.5,73,Europe
279,ford granada l,22,6,232,112,2835,14.7,82,US
280,bmw 2002,26,4,121,113,2234,12.5,70,Europe
281,saab 99le,25,4,121,115,2671,13.5,75,Europe
282,saab 99gle,21.6,4,121,115,2795,15.7,78,Europe
283,pontiac lemans v6,21.5,6,231,115,3245,15.4,79,US
284,chevrolet citation,28.8,6,173,115,2595,11.3,79,US
285,oldsmobile omega brougham,26.8,6,173,115,2700,12.9,79,US
286,toyota cressida,25.4,6,168,116,2900,12.6,81,Japan
287,amc matador,15.5,8,304,120,3962,13.9,76,US
288,mercedes-benz 280s,16.5,6,168,120,3820,16.7,76,Europe
289,amc concord d/l,18.1,6,258,120,3410,15.1,78,US
290,datsun 810 maxima,24.2,6,146,120,2930,13.8,81,Japan
291,toyota mark ii,20,6,156,122,2807,13.5,73,Japan
292,volvo 264gl,17,6,163,125,3140,13.6,78,Europe
293,chevrolet malibu classic (sw),19.2,8,267,125,3605,15,79,US
294,cadillac eldorado,23,8,350,125,3900,17.4,79,US
295,ford mustang ii,13,8,302,129,3169,12,75,US
296,ford ltd landau,17.6,8,302,129,3725,13.4,79,US
297,chevrolet chevelle malibu,18,8,307,130,3504,12,70,US
298,chevrolet chevelle concours (sw),13,8,307,130,4098,14,72,US
299,ford f108,13,8,302,130,3870,15,76,US
300,mercury cougar brougham,15,8,302,130,4295,14.9,77,US
301,chevrolet caprice classic,17,8,305,130,3840,15.4,79,US
302,datsun 280-zx,32.7,6,168,132,2910,11.4,80,Japan
303,peugeot 604sl,16.2,6,163,133,3410,15.8,78,Europe
304,dodge st. regis,18.2,8,318,135,3830,15.2,79,US
305,ford gran torino,14,8,302,137,4042,14.5,73,US
306,mercury grand marquis,16.5,8,351,138,3955,13.2,79,US
307,mercury monarch ghia,20.2,8,302,139,3570,12.8,78,US
308,ford futura,18.1,8,302,139,3205,11.2,78,US
309,ford torino,17,8,302,140,3449,10.5,70,US
310,ford gran torino (sw),13,8,302,140,4294,16,72,US
311,ford gran torino,16,8,302,140,4141,14,74,US
312,ford gran torino (sw),14,8,302,140,4638,16,74,US
313,chevrolet chevelle malibu classic,17.5,8,305,140,4215,13,76,US
314,dodge diplomat,19.4,8,318,140,3735,13.2,78,US
315,dodge magnum xe,17.5,8,318,140,4080,13.7,78,US
316,ford country squire (sw),15.5,8,351,142,4054,14.3,79,US
317,chevrolet malibu,13,8,350,145,3988,13,73,US
318,chevrolet monte carlo s,15,8,350,145,4082,13,73,US
319,chevrolet bel air,15,8,350,145,4440,14,75,US
320,chevy c10,13,8,350,145,4055,12,76,US
321,chevrolet caprice classic,17.5,8,305,145,3880,12.5,77,US
322,dodge monaco brougham,15.5,8,318,145,4140,13.7,77,US
323,chevrolet monte carlo landau,19.2,8,305,145,3425,13.2,78,US
324,ford ltd,14,8,351,148,4657,13.5,75,US
325,ford thunderbird,16,8,351,149,4335,14.5,77,US
326,plymouth satellite,18,8,318,150,3436,11,70,US
327,amc rebel sst,16,8,304,150,3433,12,70,US
328,chevrolet monte carlo,15,8,400,150,3761,9.5,70,US
329,plymouth fury iii,14,8,318,150,4096,13,71,US
330,plymouth fury iii,15,8,318,150,4135,13.5,72,US
331,amc ambassador sst,17,8,304,150,3672,11.5,72,US
332,amc matador (sw),15,8,304,150,3892,12.5,72,US
333,plymouth satellite custom (sw),14,8,318,150,4077,14,72,US
334,amc matador,14,8,304,150,3672,11.5,73,US
335,dodge coronet custom,15,8,318,150,3777,12.5,73,US
336,chevrolet caprice classic,13,8,400,150,4464,12,73,US
337,plymouth fury gran sedan,14,8,318,150,4237,14.5,73,US
338,chevrolet impala,11,8,400,150,4997,14,73,US
339,dodge dart custom,15,8,318,150,3399,11,73,US
340,buick century luxus (sw),13,8,350,150,4699,14.5,74,US
341,dodge coronet custom (sw),14,8,318,150,4457,13.5,74,US
342,amc matador (sw),14,8,304,150,4257,15.5,74,US
343,plymouth grand fury,16,8,318,150,4498,14.5,75,US
344,dodge coronet brougham,16,8,318,150,4190,13,76,US
345,plymouth volare premier v8,13,8,318,150,3940,13.2,76,US
346,dodge d100,13,8,318,150,3755,14,76,US
347,chrysler lebaron town @ country (sw),18.5,8,360,150,3940,13,79,US
348,ford gran torino,14.5,8,351,152,4215,12.8,76,US
349,ford galaxie 500,14,8,351,153,4154,13.5,71,US
350,ford galaxie 500,14,8,351,153,4129,13,72,US
351,buick lesabre custom,13,8,350,155,4502,13.5,72,US
352,buick estate wagon (sw),16.9,8,350,155,4360,14.9,79,US
353,ford ltd,13,8,351,158,4363,13,73,US
354,plymouth 'cuda 340,14,8,340,160,3609,8,70,US
355,oldsmobile delta 88 royale,12,8,350,160,4456,13.5,72,US
356,buick skylark 320,15,8,350,165,3693,11.5,70,US
357,chevrolet impala,14,8,350,165,4209,12,71,US
358,chevrolet impala,13,8,350,165,4274,12,72,US
359,buick regal sport coupe (turbo),17.7,6,231,165,3445,13.4,78,US
360,ford country,12,8,400,167,4906,12.5,73,US
361,dodge challenger se,15,8,383,170,3563,10,70,US
362,ford country squire (sw),13,8,400,170,4746,12,71,US
363,plymouth custom suburb,13,8,360,170,4654,13,73,US
364,pontiac catalina,16,8,400,170,4668,11.5,75,US
365,chevrolet monte carlo landau,15.5,8,350,170,4165,11.4,77,US
366,pontiac catalina brougham,14,8,400,175,4464,11.5,71,US
367,pontiac safari (sw),13,8,400,175,5140,12,71,US
368,pontiac catalina,14,8,400,175,4385,12,72,US
369,buick century 350,13,8,350,175,4100,13,73,US
370,amc ambassador brougham,13,8,360,175,3821,11,73,US
371,dodge monaco (sw),12,8,383,180,4955,11.5,71,US
372,oldsmobile vista cruiser,12,8,350,180,4499,12.5,73,US
373,oldsmobile omega,11,8,350,180,3664,11,73,US
374,cadillac seville,16.5,8,350,180,4380,12.1,76,US
375,pontiac grand prix lj,16,8,400,180,4220,11.1,77,US
376,amc ambassador dpl,15,8,390,190,3850,8.5,70,US
377,chrysler newport royal,13,8,400,190,4422,12.5,72,US
378,chrysler cordoba,15.5,8,400,190,4325,12.2,77,US
379,hi 1200d,9,8,304,193,4732,18.5,70,US
380,ford galaxie 500,15,8,429,198,4341,10,70,US
381,mercury marquis brougham,12,8,429,198,4952,11.5,73,US
382,chevy c20,10,8,307,200,4376,15,70,US
383,mercury marquis,11,8,429,208,4633,11,72,US
384,dodge d200,11,8,318,210,4382,13.5,70,US
385,plymouth fury iii,14,8,440,215,4312,8.5,70,US
386,ford f250,10,8,360,215,4615,14,70,US
387,chrysler new yorker brougham,13,8,440,215,4735,11,73,US
388,chevrolet impala,14,8,454,220,4354,9,70,US
389,pontiac catalina,14,8,455,225,4425,10,70,US
390,buick estate wagon (sw),14,8,455,225,3086,10,70,US
391,buick electra 225 custom,12,8,455,225,4951,11,73,US
392,pontiac grand prix,16,8,400,230,4278,9.5,73,US
393,renault 18i,34.5,4,100,0,2320,15.8,81,Europe
394,amc concord dl,23,4,151,0,3035,20.5,82,US
